input,output
"('coronavirus disease-2019', 'Concept', 'covid-19', 'Concept')",same-as
"('outbreak', 'Concept', 'coronavirus disease-2019', 'Concept')",in-context
"('severe acute respiratory syndrome coronavirus 2', 'Concept', 'novel', 'Concept')",has-property
"('severe acute respiratory syndrome coronavirus 2', 'Concept', 'sars-cov-2', 'Concept')",same-as
"('severe acute respiratory syndrome coronavirus 2', 'Concept', 'outbreak', 'Concept')",causes
"('threat', 'Concept', 'public health', 'Concept')",in-context
"('outbreak', 'Concept', 'threat', 'Concept')",is-a
"('threat', 'Concept', 'serious', 'Concept')",has-property
"('patients', 'Concept', 'critically', 'Concept')",has-property
"('patients', 'Concept', 'sars-cov-2', 'Concept')",in-context
"('patients', 'Concept', 'cytokine storms', 'Concept')",in-context
"('selection', 'Action', 'positive', 'Concept')",has-property
"('selection', 'Action', 'spike gene', 'Concept')",in-context
"('evolution', 'Action', 'sars-cov-2', 'Concept')",subject
"('evolution', 'Action', 'ratg13', 'Concept')",subject
"('selection', 'Action', 'evolution', 'Action')",in-context
"('interaction', 'Action', 'cd147', 'Concept')",subject
"('interaction', 'Action', 'sp', 'Concept')",target
"('invade', 'Action', 'sars-cov-2', 'Concept')",subject
"('invade', 'Action', 'host cells', 'Concept')",target
"('interaction', 'Action', 'invade', 'Action')",causes
"('children', 'Concept', 'chronic kidney disease (ckd)', 'Concept')",has-property
"('children', 'Concept', 'high-risk group', 'Concept')",is-a
"('high-risk group', 'Concept', 'susceptible', 'Concept')",has-property
"('susceptible', 'Concept', 'sars-cov-2', 'Concept')",in-context
"('susceptible', 'Concept', 'underlying disease', 'Concept')",in-context
"('susceptible', 'Concept', 'immunity', 'Concept')",in-context
"('orf9b', 'Concept', 'protein', 'Concept')",is-a
"('sars-cov-2', 'Concept', 'orf9b', 'Concept')",has-part
"('mean', 'Predicate', 'ppid', 'Concept')",domain
"('mean', 'Predicate', '10.31%', 'Predicate')",arg
"('orf9b', 'Concept', 'ppid', 'Concept')",has-property
"('predicted', 'Predicate', 'disordered segment', 'Concept')",domain
"('predicted', 'Predicate', '1-10', 'Predicate')",arg
"('orf9b', 'Concept', 'disordered segment', 'Concept')",has-property
"('1-10', 'Predicate', 'n-terminal residues', 'Concept')",in-context
"('procedure', 'Concept', 'sars-cov-2 infection', 'Concept')",in-context
"('procedure', 'Concept', 'vero e6 cells', 'Concept')",in-place
"('antiviral activities', 'Concept', 'procedure', 'Concept')",in-time
"('cvl218', 'Concept', 'dmso control group', 'Concept')",in-context
"('remdesivir', 'Concept', 'dmso control group', 'Concept')",in-context
"('cvl218', 'Concept', 'antiviral activities', 'Concept')",causes
"('remdesivir', 'Concept', 'antiviral activities', 'Concept')",causes
"('s416', 'Concept', 'chemical', 'Concept')",is-a
"('against', 'Action', 's416', 'Concept')",subject
"('against', 'Action', 'sars-cov-2', 'Concept')",target
"('against', 'Action', 'cellular level', 'Concept')",in-place
"('sars-cov-2', 'Concept', 'infectious', 'Concept')",has-property
"('severe respiratory disease', 'Concept', 'death', 'Concept')",entails
"('sars-cov-2', 'Concept', 'severe respiratory disease', 'Concept')",causes
"('spread', 'Action', 'sars-cov-2', 'Concept')",subject
"('spread', 'Action', 'quickly', 'Concept')",in-context
"('spread', 'Action', 'person to person', 'Concept')",in-context
"('spread', 'Concept', 'sars-cov-2', 'Concept')",in-context
"('virulence', 'Concept', 'sars-cov-2', 'Concept')",in-context
"('spread', 'Concept', 'unique capacities', 'Concept')",has-property
"('virulence', 'Concept', 'unique capacities', 'Concept')",has-property
"('accessory features', 'Concept', 'unique capacities', 'Concept')",entails
"('functional', 'Action', 'virus', 'Concept')",subject
"('core genomic features', 'Concept', 'functional', 'Action')",causes
"('immunity against', 'Action', 'hcov-hku1', 'Concept')",target
"('immunity against', 'Action', 'hcov-oc43', 'Concept')",target
"('sars-cov-2', 'Concept', 'immunity against', 'Action')",causes
"('sars-cov-2', 'Concept', 'canonical trs-mediated 144 mechanism', 'Concept')",has-property
"('produce', 'Action', 'sars-cov-2', 'Concept')",subject
"('produce', 'Action', 'sgrnas', 'Concept')",target
"('confirm', 'Action', 'sars-cov-2', 'Concept')",target
"('uses', 'Action', 'sars-cov-2', 'Concept')",subject
"('uses', 'Action', 'canonical trs-mediated 144 mechanism', 'Concept')",target
"('confirm', 'Action', 'results', 'Concept')",subject
"('canonical trs-mediated 144 mechanism', 'Concept', 'discontinuous transcription', 'Concept')",has-part
"('ca12', 'Concept', 'drug resistance', 'Concept')",entails
"('ca12', 'Concept', 'cancer', 'Concept')",in-context
"('cancer', 'Concept', 'types', 'Concept')",has-part
"('ca12', 'Concept', 'overexpressed', 'Concept')",has-property
"('overexpressed', 'Concept', 'flc', 'Concept')",in-context
"('received', 'Action', 'patients', 'Concept')",subject
"('received', 'Action', 'glucocorticoid', 'Concept')",target
"('received', 'Action', 'immunoglobulin', 'Concept')",target
"('immunoglobulin', 'Concept', 'intravenous', 'Concept')",in-context
"('guarani dna', 'Concept', 'mutant', 'Concept')",has-property
"('amount', 'Concept', 'guarani dna', 'Concept')",in-context
"('decrease', 'Action', 'amount', 'Concept')",subject
"('passages', 'Concept', 'several', 'Concept')",has-property
"('passages', 'Concept', 'tupanvirus', 'Concept')",in-context
"('after', 'Concept', 'passages', 'Concept')",in-context
"('decrease', 'Action', 'after', 'Concept')",in-time
"('binding', 'Action', 'defects', 'Concept')",has-property
"('binding', 'Action', 'o-mad2', 'Concept')",target
"('binding', 'Action', 'c-mad2', 'Concept')",target
"('binding', 'Action', 'ctd 4e', 'Concept')",subject
"('binding', 'Action', 'ctd 4a', 'Concept')",subject
"('sars-cov-2 infection', 'Concept', 'liver injury', 'Concept')",causes
"('mean ppid', 'Concept', 'sars-cov-2', 'Concept')",in-context
